"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2025 03:30:00 - 02/01/2025 03:45:00","BZN|NO1","Without Sequence","27.66","",""
"02/01/2025 03:45:00 - 02/01/2025 04:00:00","BZN|NO1","Without Sequence","27.66","",""
"02/01/2025 04:00:00 - 02/01/2025 04:15:00","BZN|NO1","Without Sequence","29.64","",""
"02/01/2025 04:15:00 - 02/01/2025 04:30:00","BZN|NO1","Without Sequence","29.64","",""
"02/01/2025 04:30:00 - 02/01/2025 04:45:00","BZN|NO1","Without Sequence","29.64","",""
"02/01/2025 04:45:00 - 02/01/2025 05:00:00","BZN|NO1","Without Sequence","29.64","",""
"02/01/2025 05:00:00 - 02/01/2025 05:15:00","BZN|NO1","Without Sequence","32.96","",""
"02/01/2025 05:15:00 - 02/01/2025 05:30:00","BZN|NO1","Without Sequence","32.96","",""
"02/01/2025 05:30:00 - 02/01/2025 05:45:00","BZN|NO1","Without Sequence","32.96","",""
"02/01/2025 05:45:00 - 02/01/2025 06:00:00","BZN|NO1","Without Sequence","32.96","",""
"02/01/2025 06:00:00 - 02/01/2025 06:15:00","BZN|NO1","Without Sequence","36.54","",""
"02/01/2025 06:15:00 - 02/01/2025 06:30:00","BZN|NO1","Without Sequence","36.54","",""
"02/01/2025 06:30:00 - 02/01/2025 06:45:00","BZN|NO1","Without Sequence","36.54","",""
"02/01/2025 06:45:00 - 02/01/2025 07:00:00","BZN|NO1","Without Sequence","36.54","",""
"02/01/2025 07:00:00 - 02/01/2025 07:15:00","BZN|NO1","Without Sequence","85.02","",""
"02/01/2025 07:15:00 - 02/01/2025 07:30:00","BZN|NO1","Without Sequence","85.02","",""
"02/01/2025 07:30:00 - 02/01/2025 07:45:00","BZN|NO1","Without Sequence","85.02","",""
"02/01/2025 07:45:00 - 02/01/2025 08:00:00","BZN|NO1","Without Sequence","85.02","",""
"02/01/2025 08:00:00 - 02/01/2025 08:15:00","BZN|NO1","Without Sequence","110.88","",""
"02/01/2025 08:15:00 - 02/01/2025 08:30:00","BZN|NO1","Without Sequence","110.88","",""
"02/01/2025 08:30:00 - 02/01/2025 08:45:00","BZN|NO1","Without Sequence","110.88","",""
"02/01/2025 08:45:00 - 02/01/2025 09:00:00","BZN|NO1","Without Sequence","110.88","",""
"02/01/2025 09:00:00 - 02/01/2025 09:15:00","BZN|NO1","Without Sequence","114.58","",""
"02/01/2025 09:15:00 - 02/01/2025 09:30:00","BZN|NO1","Without Sequence","114.58","",""
"02/01/2025 09:30:00 - 02/01/2025 09:45:00","BZN|NO1","Without Sequence","114.58","",""
"02/01/2025 09:45:00 - 02/01/2025 10:00:00","BZN|NO1","Without Sequence","114.58","",""
"02/01/2025 10:00:00 - 02/01/2025 10:15:00","BZN|NO1","Without Sequence","115.49","",""
"02/01/2025 10:15:00 - 02/01/2025 10:30:00","BZN|NO1","Without Sequence","115.49","",""
"02/01/2025 10:30:00 - 02/01/2025 10:45:00","BZN|NO1","Without Sequence","115.49","",""
"02/01/2025 10:45:00 - 02/01/2025 11:00:00","BZN|NO1","Without Sequence","115.49","",""
"02/01/2025 11:00:00 - 02/01/2025 11:15:00","BZN|NO1","Without Sequence","103.55","",""
"02/01/2025 11:15:00 - 02/01/2025 11:30:00","BZN|NO1","Without Sequence","103.55","",""
"02/01/2025 11:30:00 - 02/01/2025 11:45:00","BZN|NO1","Without Sequence","103.55","",""
"02/01/2025 11:45:00 - 02/01/2025 12:00:00","BZN|NO1","Without Sequence","103.55","",""
"02/01/2025 12:00:00 - 02/01/2025 12:15:00","BZN|NO1","Without Sequence","93.22","",""
"02/01/2025 12:15:00 - 02/01/2025 12:30:00","BZN|NO1","Without Sequence","93.22","",""
"02/01/2025 12:30:00 - 02/01/2025 12:45:00","BZN|NO1","Without Sequence","93.22","",""
"02/01/2025 12:45:00 - 02/01/2025 13:00:00","BZN|NO1","Without Sequence","93.22","",""
"02/01/2025 13:00:00 - 02/01/2025 13:15:00","BZN|NO1","Without Sequence","97.49","",""
"02/01/2025 13:15:00 - 02/01/2025 13:30:00","BZN|NO1","Without Sequence","97.49","",""
"02/01/2025 13:30:00 - 02/01/2025 13:45:00","BZN|NO1","Without Sequence","97.49","",""
"02/01/2025 13:45:00 - 02/01/2025 14:00:00","BZN|NO1","Without Sequence","97.49","",""
"02/01/2025 14:00:00 - 02/01/2025 14:15:00","BZN|NO1","Without Sequence","102.37","",""
"02/01/2025 14:15:00 - 02/01/2025 14:30:00","BZN|NO1","Without Sequence","102.37","",""
"02/01/2025 14:30:00 - 02/01/2025 14:45:00","BZN|NO1","Without Sequence","102.37","",""
"02/01/2025 14:45:00 - 02/01/2025 15:00:00","BZN|NO1","Without Sequence","102.37","",""
"02/01/2025 15:00:00 - 02/01/2025 15:15:00","BZN|NO1","Without Sequence","114.82","",""
"02/01/2025 15:15:00 - 02/01/2025 15:30:00","BZN|NO1","Without Sequence","114.82","",""
"02/01/2025 15:30:00 - 02/01/2025 15:45:00","BZN|NO1","Without Sequence","114.82","",""
"02/01/2025 15:45:00 - 02/01/2025 16:00:00","BZN|NO1","Without Sequence","114.82","",""
"02/01/2025 16:00:00 - 02/01/2025 16:15:00","BZN|NO1","Without Sequence","125.52","",""
"02/01/2025 16:15:00 - 02/01/2025 16:30:00","BZN|NO1","Without Sequence","125.52","",""
"02/01/2025 16:30:00 - 02/01/2025 16:45:00","BZN|NO1","Without Sequence","125.52","",""
"02/01/2025 16:45:00 - 02/01/2025 17:00:00","BZN|NO1","Without Sequence","125.52","",""
"02/01/2025 17:00:00 - 02/01/2025 17:15:00","BZN|NO1","Without Sequence","138.87","",""
"02/01/2025 17:15:00 - 02/01/2025 17:30:00","BZN|NO1","Without Sequence","138.87","",""
"02/01/2025 17:30:00 - 02/01/2025 17:45:00","BZN|NO1","Without Sequence","138.87","",""
"02/01/2025 17:45:00 - 02/01/2025 18:00:00","BZN|NO1","Without Sequence","138.87","",""
"02/01/2025 18:00:00 - 02/01/2025 18:15:00","BZN|NO1","Without Sequence","133.26","",""
"02/01/2025 18:15:00 - 02/01/2025 18:30:00","BZN|NO1","Without Sequence","133.26","",""
"02/01/2025 18:30:00 - 02/01/2025 18:45:00","BZN|NO1","Without Sequence","133.26","",""
"02/01/2025 18:45:00 - 02/01/2025 19:00:00","BZN|NO1","Without Sequence","133.26","",""
"02/01/2025 19:00:00 - 02/01/2025 19:15:00","BZN|NO1","Without Sequence","96.63","",""
"02/01/2025 19:15:00 - 02/01/2025 19:30:00","BZN|NO1","Without Sequence","96.63","",""
"02/01/2025 19:30:00 - 02/01/2025 19:45:00","BZN|NO1","Without Sequence","96.63","",""
"02/01/2025 19:45:00 - 02/01/2025 20:00:00","BZN|NO1","Without Sequence","96.63","",""
"02/01/2025 20:00:00 - 02/01/2025 20:15:00","BZN|NO1","Without Sequence","92.29","",""
"02/01/2025 20:15:00 - 02/01/2025 20:30:00","BZN|NO1","Without Sequence","92.29","",""
"02/01/2025 20:30:00 - 02/01/2025 20:45:00","BZN|NO1","Without Sequence","92.29","",""
"02/01/2025 20:45:00 - 02/01/2025 21:00:00","BZN|NO1","Without Sequence","92.29","",""
"02/01/2025 21:00:00 - 02/01/2025 21:15:00","BZN|NO1","Without Sequence","64.33","",""
"02/01/2025 21:15:00 - 02/01/2025 21:30:00","BZN|NO1","Without Sequence","64.33","",""
"02/01/2025 21:30:00 - 02/01/2025 21:45:00","BZN|NO1","Without Sequence","64.33","",""
"02/01/2025 21:45:00 - 02/01/2025 22:00:00","BZN|NO1","Without Sequence","64.33","",""
"02/01/2025 22:00:00 - 02/01/2025 22:15:00","BZN|NO1","Without Sequence","55.80","",""
"02/01/2025 22:15:00 - 02/01/2025 22:30:00","BZN|NO1","Without Sequence","55.80","",""
"02/01/2025 22:30:00 - 02/01/2025 22:45:00","BZN|NO1","Without Sequence","55.80","",""
"02/01/2025 22:45:00 - 02/01/2025 23:00:00","BZN|NO1","Without Sequence","55.80","",""
"02/01/2025 23:00:00 - 02/01/2025 23:15:00","BZN|NO1","Without Sequence","45.28","",""
"02/01/2025 23:15:00 - 02/01/2025 23:30:00","BZN|NO1","Without Sequence","45.28","",""
"02/01/2025 23:30:00 - 02/01/2025 23:45:00","BZN|NO1","Without Sequence","45.28","",""
"02/01/2025 23:45:00 - 03/01/2025 00:00:00","BZN|NO1","Without Sequence","45.28","",""
"03/01/2025 00:00:00 - 03/01/2025 00:15:00","BZN|NO1","Without Sequence","39.15","",""
"03/01/2025 00:15:00 - 03/01/2025 00:30:00","BZN|NO1","Without Sequence","39.15","",""
"03/01/2025 00:30:00 - 03/01/2025 00:45:00","BZN|NO1","Without Sequence","39.15","",""
"03/01/2025 00:45:00 - 03/01/2025 01:00:00","BZN|NO1","Without Sequence","39.15","",""
"03/01/2025 01:00:00 - 03/01/2025 01:15:00","BZN|NO1","Without Sequence","35.48","",""
"03/01/2025 01:15:00 - 03/01/2025 01:30:00","BZN|NO1","Without Sequence","35.48","",""
"03/01/2025 01:30:00 - 03/01/2025 01:45:00","BZN|NO1","Without Sequence","35.48","",""
"03/01/2025 01:45:00 - 03/01/2025 02:00:00","BZN|NO1","Without Sequence","35.48","",""
"03/01/2025 02:00:00 - 03/01/2025 02:15:00","BZN|NO1","Without Sequence","32.83","",""
"03/01/2025 02:15:00 - 03/01/2025 02:30:00","BZN|NO1","Without Sequence","32.83","",""
"03/01/2025 02:30:00 - 03/01/2025 02:45:00","BZN|NO1","Without Sequence","32.83","",""
"03/01/2025 02:45:00 - 03/01/2025 03:00:00","BZN|NO1","Without Sequence","32.83","",""
"03/01/2025 03:00:00 - 03/01/2025 03:15:00","BZN|NO1","Without Sequence","32.18","",""
"03/01/2025 03:15:00 - 03/01/2025 03:30:00","BZN|NO1","Without Sequence","32.18","",""
"03/01/2025 03:30:00 - 03/01/2025 03:45:00","BZN|NO1","Without Sequence","32.18","",""
"03/01/2025 03:45:00 - 03/01/2025 04:00:00","BZN|NO1","Without Sequence","32.18","",""
"03/01/2025 04:00:00 - 03/01/2025 04:15:00","BZN|NO1","Without Sequence","31.52","",""
"03/01/2025 04:15:00 - 03/01/2025 04:30:00","BZN|NO1","Without Sequence","31.52","",""
"03/01/2025 04:30:00 - 03/01/2025 04:45:00","BZN|NO1","Without Sequence","31.52","",""
"03/01/2025 04:45:00 - 03/01/2025 05:00:00","BZN|NO1","Without Sequence","31.52","",""
"03/01/2025 05:00:00 - 03/01/2025 05:15:00","BZN|NO1","Without Sequence","31.97","",""
"03/01/2025 05:15:00 - 03/01/2025 05:30:00","BZN|NO1","Without Sequence","31.97","",""
"03/01/2025 05:30:00 - 03/01/2025 05:45:00","BZN|NO1","Without Sequence","31.97","",""
"03/01/2025 05:45:00 - 03/01/2025 06:00:00","BZN|NO1","Without Sequence","31.97","",""
"03/01/2025 06:00:00 - 03/01/2025 06:15:00","BZN|NO1","Without Sequence","38.10","",""
"03/01/2025 06:15:00 - 03/01/2025 06:30:00","BZN|NO1","Without Sequence","38.10","",""
"03/01/2025 06:30:00 - 03/01/2025 06:45:00","BZN|NO1","Without Sequence","38.10","",""
"03/01/2025 06:45:00 - 03/01/2025 07:00:00","BZN|NO1","Without Sequence","38.10","",""
"03/01/2025 07:00:00 - 03/01/2025 07:15:00","BZN|NO1","Without Sequence","49.19","",""
"03/01/2025 07:15:00 - 03/01/2025 07:30:00","BZN|NO1","Without Sequence","49.19","",""
"03/01/2025 07:30:00 - 03/01/2025 07:45:00","BZN|NO1","Without Sequence","49.19","",""
"03/01/2025 07:45:00 - 03/01/2025 08:00:00","BZN|NO1","Without Sequence","49.19","",""
"03/01/2025 08:00:00 - 03/01/2025 08:15:00","BZN|NO1","Without Sequence","75.39","",""
"03/01/2025 08:15:00 - 03/01/2025 08:30:00","BZN|NO1","Without Sequence","75.39","",""
"03/01/2025 08:30:00 - 03/01/2025 08:45:00","BZN|NO1","Without Sequence","75.39","",""
"03/01/2025 08:45:00 - 03/01/2025 09:00:00","BZN|NO1","Without Sequence","75.39","",""
"03/01/2025 09:00:00 - 03/01/2025 09:15:00","BZN|NO1","Without Sequence","69.65","",""
"03/01/2025 09:15:00 - 03/01/2025 09:30:00","BZN|NO1","Without Sequence","69.65","",""
"03/01/2025 09:30:00 - 03/01/2025 09:45:00","BZN|NO1","Without Sequence","69.65","",""
"03/01/2025 09:45:00 - 03/01/2025 10:00:00","BZN|NO1","Without Sequence","69.65","",""
"03/01/2025 10:00:00 - 03/01/2025 10:15:00","BZN|NO1","Without Sequence","70.42","",""
"03/01/2025 10:15:00 - 03/01/2025 10:30:00","BZN|NO1","Without Sequence","70.42","",""
"03/01/2025 10:30:00 - 03/01/2025 10:45:00","BZN|NO1","Without Sequence","70.42","",""
"03/01/2025 10:45:00 - 03/01/2025 11:00:00","BZN|NO1","Without Sequence","70.42","",""
"03/01/2025 11:00:00 - 03/01/2025 11:15:00","BZN|NO1","Without Sequence","56.92","",""
"03/01/2025 11:15:00 - 03/01/2025 11:30:00","BZN|NO1","Without Sequence","56.92","",""
"03/01/2025 11:30:00 - 03/01/2025 11:45:00","BZN|NO1","Without Sequence","56.92","",""
"03/01/2025 11:45:00 - 03/01/2025 12:00:00","BZN|NO1","Without Sequence","56.92","",""
"03/01/2025 12:00:00 - 03/01/2025 12:15:00","BZN|NO1","Without Sequence","48.06","",""
"03/01/2025 12:15:00 - 03/01/2025 12:30:00","BZN|NO1","Without Sequence","48.06","",""
"03/01/2025 12:30:00 - 03/01/2025 12:45:00","BZN|NO1","Without Sequence","48.06","",""
"03/01/2025 12:45:00 - 03/01/2025 13:00:00","BZN|NO1","Without Sequence","48.06","",""
"03/01/2025 13:00:00 - 03/01/2025 13:15:00","BZN|NO1","Without Sequence","46.79","",""
"03/01/2025 13:15:00 - 03/01/2025 13:30:00","BZN|NO1","Without Sequence","46.79","",""
"03/01/2025 13:30:00 - 03/01/2025 13:45:00","BZN|NO1","Without Sequence","46.79","",""
"03/01/2025 13:45:00 - 03/01/2025 14:00:00","BZN|NO1","Without Sequence","46.79","",""
"03/01/2025 14:00:00 - 03/01/2025 14:15:00","BZN|NO1","Without Sequence","47.46","",""
"03/01/2025 14:15:00 - 03/01/2025 14:30:00","BZN|NO1","Without Sequence","47.46","",""
"03/01/2025 14:30:00 - 03/01/2025 14:45:00","BZN|NO1","Without Sequence","47.46","",""
"03/01/2025 14:45:00 - 03/01/2025 15:00:00","BZN|NO1","Without Sequence","47.46","",""
"03/01/2025 15:00:00 - 03/01/2025 15:15:00","BZN|NO1","Without Sequence","64.91","",""
"03/01/2025 15:15:00 - 03/01/2025 15:30:00","BZN|NO1","Without Sequence","64.91","",""
"03/01/2025 15:30:00 - 03/01/2025 15:45:00","BZN|NO1","Without Sequence","64.91","",""
"03/01/2025 15:45:00 - 03/01/2025 16:00:00","BZN|NO1","Without Sequence","64.91","",""
"03/01/2025 16:00:00 - 03/01/2025 16:15:00","BZN|NO1","Without Sequence","95.13","",""
"03/01/2025 16:15:00 - 03/01/2025 16:30:00","BZN|NO1","Without Sequence","95.13","",""
"03/01/2025 16:30:00 - 03/01/2025 16:45:00","BZN|NO1","Without Sequence","95.13","",""
"03/01/2025 16:45:00 - 03/01/2025 17:00:00","BZN|NO1","Without Sequence","95.13","",""
"03/01/2025 17:00:00 - 03/01/2025 17:15:00","BZN|NO1","Without Sequence","97.96","",""
"03/01/2025 17:15:00 - 03/01/2025 17:30:00","BZN|NO1","Without Sequence","97.96","",""
"03/01/2025 17:30:00 - 03/01/2025 17:45:00","BZN|NO1","Without Sequence","97.96","",""
"03/01/2025 17:45:00 - 03/01/2025 18:00:00","BZN|NO1","Without Sequence","97.96","",""
"03/01/2025 18:00:00 - 03/01/2025 18:15:00","BZN|NO1","Without Sequence","99.86","",""
"03/01/2025 18:15:00 - 03/01/2025 18:30:00","BZN|NO1","Without Sequence","99.86","",""
"03/01/2025 18:30:00 - 03/01/2025 18:45:00","BZN|NO1","Without Sequence","99.86","",""
"03/01/2025 18:45:00 - 03/01/2025 19:00:00","BZN|NO1","Without Sequence","99.86","",""
"03/01/2025 19:00:00 - 03/01/2025 19:15:00","BZN|NO1","Without Sequence","93.28","",""
"03/01/2025 19:15:00 - 03/01/2025 19:30:00","BZN|NO1","Without Sequence","93.28","",""
"03/01/2025 19:30:00 - 03/01/2025 19:45:00","BZN|NO1","Without Sequence","93.28","",""
